com_name,N,continent,month
Burchell's Starling,2,Africa,aug23
House Sparrow,2,Africa,aug23
Common Sandpiper,2,Africa,aug23
Peregrine Falcon,2,Africa,aug23
Black-crowned Night-Heron,2,Africa,aug23
Spotted Eagle-Owl,2,Africa,aug23
Green Sandpiper,3,Africa,aug23
Common Nighthawk,1,Africa,aug23
Common Swift,2,Africa,aug23
Red-winged Starling,6,Africa,aug23
Cape Wagtail,1,Africa,aug23
Karoo Thrush,1,Africa,aug23
Rameron Pigeon,1,Africa,aug23
Malachite Sunbird,1,Africa,aug23
Rock Pigeon,3,Africa,aug23
Red-fronted Tinkerbird,6,Africa,aug23
White-starred Robin,26783,Africa,aug23
Brown Scrub-Robin,1,Africa,aug23
Cape Starling,1,Africa,aug23
Mallard,1,Africa,aug23
Dark-capped Bulbul,3,Africa,aug23
Little Swift,4,Africa,aug23
South African Shelduck,1,Africa,aug23
Hadada Ibis,3404,Africa,sept23
Cape Robin-Chat,12636,Africa,sept23
White-starred Robin,2794,Africa,sept23
Bronze Mannikin,116,Africa,sept23
Egyptian Goose,15,Africa,sept23
Gray Go-away-bird,1247,Africa,sept23
Black Goshawk,34,Africa,sept23
Namaqua Dove,9,Africa,sept23
Crested Barbet,1798,Africa,sept23
Southern Masked-Weaver,3951,Africa,sept23
Common Myna,46,Africa,sept23
Common Waxbill,13,Africa,sept23
Rose-ringed Parakeet,177,Africa,sept23
African Hoopoe,58,Africa,sept23
Red-faced Mousebird,440,Africa,sept23
Red-eyed Dove,599,Africa,sept23
Speckled Mousebird,226,Africa,sept23
Southern Gray-headed Sparrow,10,Africa,sept23
Cape White-eye,481,Africa,sept23
Brown-hooded Kingfisher,24,Africa,sept23
African Fish-Eagle,2,Africa,sept23
Cape Starling,9,Africa,sept23
Helmeted Guineafowl,456,Africa,sept23
Common House-Martin,1,Africa,sept23
Eurasian Moorhen,3,Africa,sept23
Common Swift,3,Africa,sept23
Tree Pipit,1,Africa,sept23
Mallard,1,Africa,sept23
South African Shelduck,2,Africa,sept23
Spotted Thick-knee,70,Africa,sept23
Wattled Lapwing,5,Africa,sept23
Red-winged Starling,6,Africa,sept23
Speckled Pigeon,4,Africa,sept23
Rock Pigeon,6,Africa,sept23
Pied Crow,4,Africa,sept23
Southern Cordonbleu,2,Africa,sept23
Gray Heron,1,Africa,sept23
Burchell's Starling,1,Africa,sept23
Green Woodhoopoe,42,Africa,sept23
Laughing Dove,478,Africa,sept23
Ring-necked Dove,14,Africa,sept23
Little Swift,18,Africa,sept23
Dark-capped Bulbul,4,Africa,sept23
Common Bulbul,10,Africa,sept23
