station_locs,avg_rad,lat,lon
220,7.42000007629395,43.4852,-0.7456
221,1.13999998569489,52.7489,1.1032
222,1.4099999666214,46.3579,-0.3316
223,7.59999990463257,48.2272,11.6762
224,2.69000005722046,48.3794,16.3519
225,2.20000004768372,52.0399,8.4606
226,10.8000001907349,52.1083,9.3622
227,44.2900009155273,47.5234,19.059
228,6.57999992370606,49.8739,9.1705
229,2.53999996185303,52.504,9.625
230,1.13999998569489,52.8522,-4.6471
231,0.519999980926514,50.2877,32.5187
232,2.09999990463257,52.2467,5.9441
233,2.25999999046326,51.2902,9.4297
234,11.1599998474121,59.4723,17.7932
235,0.970000028610229,49.4924,2.675
236,8.73999977111816,52.6012,13.4566
237,16.4300003051758,51.1066,17.1266
238,0.689999997615814,49.0663,12.8006
239,1.6599999666214,52.2573,-1.7683
240,1.52999997138977,51.1983,13.1961
241,0.870000004768372,48.7337,3.2701
242,0.839999973773956,48.765,8.674
243,1.30999994277954,54.1782,-4.5538
244,15.789999961853,53.1989,6.5898
245,8.3100004196167,53.4712,9.8249
246,12.4700002670288,46.5734,11.6742
247,0.810000002384186,48.764,8.673
248,25.7399997711182,47.4032,8.5585
249,8.5600004196167,55.9561,-4.16
250,4.3600001335144,50.6204,-3.3946
251,2.69000005722046,50.5572,3.2382
252,4.32000017166138,50.5571,3.2382
253,4.32000017166138,50.5571,3.2381
254,16.3199996948242,51.0676,3.6918
255,1.08000004291534,46.3835,-0.3347
256,51.3300018310547,45.046,7.6732
257,10.9499998092651,49.4741,8.6141
258,19.2299995422363,48.611,2.498
259,2.74000000953674,53.1465,6.3832
260,2.04999995231628,52.3727,1.071
261,3.21000003814697,49.1225,8.7145
262,6.84999990463257,52.5355,12.3389
263,1.47000002861023,47.1313,-1.6384
264,2.99000000953674,54.5431,9.1589
265,0,55.8984,-4.2355
266,0,55.8413,12.2828
267,0,55.0479,-1.4523
268,0,55.8984,-4.2356
269,2.74000000953674,51.2151,-0.3186
270,14.5500001907349,52.5168,13.6316
271,8.81999969482422,50.7048,7.1609
272,1.51999998092651,48.467,8.5051
273,0,55.8983,-4.2355
274,3.47000002861023,51.647,3.9509
