sci_name,sci_name_syn
Psittacara erythrogenys,Aratinga erythrogenys
Artemisiospiza belli,Amphispiza belli
Troglodytes hiemalis,Nannus hiemalis
Antrostomus carolinensis,Caprimulgus carolinensis
Antrostomus vociferus,Caprimulgus vociferus
Dryobates borealis,Dendrocopos borealis
Dryobates borealis,Picoides borealis
Dryobates borealis,Dryobates borealis
Setophaga castanea,Dendroica castanea
Setophaga striata,Dendroica striata
Setophaga tigrina,Dendroica tigrina
Leiothlypis peregrina,Vermivora peregrina
Leiothlypis peregrina,Oreothlypis peregrina
Leiothlypis peregrina,Sylvia peregrina
Parkesia motacilla,Seiurus motacilla
Poecile carolinensis,Parus carolinensis
Setophaga pinus,Vermivora pinus
Setophaga pinus,Dendroica pinus
Setophaga pinus,Certhia pinus
Spizelloides arborea,Spizella arborea
Spizelloides arborea,Fringilla arborea
Spizelloides arborea,Passerella arborea
Chroicocephalus philadelphia,Larus philadelphia
Chroicocephalus philadelphia,Sterna philadelphia
Leucophaeus pipixcan,Larus pipixcan
Setophaga palmarum,Dendroica palmarum
Setophaga virens,Dendroica virens
Cardellina canadensis,Wilsonia canadensis
Centronyx henslowii,Ammodramus henslowii
Centronyx henslowii,Passerculus henslowii
Leiothlypis ruficapilla,Vermivora ruficapilla
Leiothlypis ruficapilla,Sylvia ruficapilla
Leiothlypis ruficapilla,Oreothlypis ruficapilla
Setophaga fusca,Dendroica fusca
Setophaga pensylvanica,Dendroica pensylvanica
Geothlypis formosa,Oporornis formosus
Setophaga magnolia,Dendroica magnolia
Geothlypis philadelphia,Oporornis philadelphia
Peucaea aestivalis,Aimophila aestivalis
Setophaga dominica,Dendroica dominica
Setophaga americana,Parula americana
Setophaga discolor,Dendroica discolor
Thalasseus maximus,Sterna maxima
Thalasseus maximus,Thalasseus maxima
Thalasseus maximus,Thalasseus maximus
Setophaga cerulea,Dendroica cerulea
Setophaga caerulescens,Dendroica caerulescens
Oreothlypis superciliosa,Parula superciliosa
Melanitta americana,Melanitta nigra
Melanitta americana,Oidemia americana
Poecile hudsonicus,Parus hudsonicus
Poecile hudsonicus,Poecile hudsonica
Acanthis hornemanni,Carduelis hornemanni
Cryptillas victorini,Bradypterus victorini
Selasphorus calliope,Stellula calliope
Selasphorus calliope,Trochilus calliope
Spinus barbatus,Carduelis barbata
Melanospiza bicolor,Tiaris bicolor
Spinus magellanicus,Carduelis magellanica
Canachites canadensis,Dendrogapus canadensis
Canachites canadensis,Dendragapus canadensis
Canachites canadensis,Falcipennis canadensis
Melopyrrha violacea,Loxigilla violacea
Melopyrrha violacea,Pyrrhulagra violacea
Chlorodrepanis virens,Hemignathus virens
Chlorodrepanis virens,Viridonia virens
Chlorodrepanis virens,Certhia virens
Antrostomus arizonae,Caprimulgus arizonae
Setophaga chrysoparia,Dendroica chrysoparia
Peucaea cassinii,Aimophila cassinii
Peucaea cassinii,Zonotrichia cassinii
Larus brachyrhynchus,Larus canus
Anser rossii,Chen rossii
Falcipennis canadensis,Dendrogapus canadensis
Falcipennis canadensis,Dendragapus canadensis
Falcipennis canadensis,Falcipennis canadensis
Cantorchilus nigricapillus,Thryothorus nigricapillus
Myiothlypis fulvicauda,Basileuterus fulvicauda
Myiothlypis fulvicauda,Phaeothlypis fulvicauda
Ciccaba virgata,Ciccaba virgata
Ciccaba virgata,Syrnium virgatum
Cantorchilus semibadius,Thryothorus semibadius
Thryophilus rufalbus,Thryothorus rufalbus
Cantorchilus leucotis,Thryothorus leucotis
Psilorhinus morio,Cyanocorax morio
Hemignathus wilsoni,Hemignathus munroi
Chlorodrepanis flava,Hemignathus chloris
Chlorodrepanis flava,Hemignathus flavus
Setophaga graciae,Dendroica graciae
Tringa incana,Heteroscelus incanus
Tringa incana,Scolopax incana
Setophaga occidentalis,Dendroica occidentalis
Chloris sinica,Carduelis sinica
Saucerottia beryllina,Amazilia beryllina
Saucerottia beryllina,Trochilus beryllinus
Psittacara finschi,Aratinga finschi
Psittacara finschi,Conurus finschi
Leptotila cassinii,Leptotila cassini
Thryophilus pleurostictus,Thryothorus pleurostictus
Ortygornis pondicerianus,Francolinus pondicerianus
Trichoglossus moluccanus,Psittacus moluccanus
Eolophus roseicapilla,Eolephus roseicapillus
Eolophus roseicapilla,Eolophus roseicapillus
Eolophus roseicapilla,Cacatua roseicapilla
Eolophus roseicapilla,Kakatoe roseicapilla
Caligavis chrysops,Lichenostomus chrysops
Caligavis chrysops,Meliphaga chrysops
Nesoptilotis leucotis,Lichenostomus leucotis
Ptilotula penicillata,Lichenostomus penicillatus
Gavicalis virescens,Lichenostomus virescens
Parvipsitta porphyrocephala,Glossopsitta porphyrocephala
Parvipsitta porphyrocephala,Trichoglossus porphyrocephala
Myiothlypis flaveola,Basileuterus flaveolus
Myiothlypis rivularis,Basileuterus rivularis
Myiothlypis rivularis,Phaeothlypis rivularis
Scleroptila afra,Francolinus africanus
Scleroptila afra,Scleroptila africanus
Elliotomyia chionogaster,Amazilia chionogaster
Elliotomyia chionogaster,Leucippus chionogaster
Elliotomyia chionogaster,Trochilus chionogaster
